epoch,train_loss,val_loss
1,0.11443616650567567,0.026592904701828957
2,0.05778622580461266,0.015404709614813328
3,0.046138819965941845,0.009512560442090034
4,0.04237717141297238,0.011772168800234795
5,0.04424997201143217,0.009335276670753956
6,0.0405516900553191,0.007195580750703812
7,0.03742419611200813,0.007938300259411335
8,0.037996916195824126,0.008452896028757095
9,0.037958431028383824,0.007156623527407646
10,0.037054349094136685,0.006262482609599829
11,0.03612210231502194,0.006484977435320616
12,0.03568920728958343,0.006450544111430645
13,0.03614808883179318,0.006022466346621513
14,0.03516912810073411,0.005953452084213495
15,0.034615664689008854,0.006356104742735624
16,0.03494331180310446,0.006400856655091047
17,0.03447957514854502,0.0061078486032783985
18,0.03452279658233824,0.006013495847582817
19,0.03369692677924456,0.00600104546174407
20,0.03356347683786361,0.005898308474570513
21,0.03308231778873885,0.00586166325956583
22,0.03314517060340929,0.005885476246476173
23,0.03308694092325928,0.005868047010153532
24,0.032854999484848386,0.005898856557905674
25,0.03290924468685773,0.0059438953176140785
26,0.03246790938510383,0.005964205600321293
27,0.03220133264818467,0.005906418897211552
28,0.03228759883849089,0.005901777651160955
29,0.032347603517869285,0.005937894806265831
30,0.03208393456398948,0.005927898921072483
31,0.031797445879494846,0.005941515788435936
32,0.03175934014364708,0.0060122269205749035
33,0.03174982703298577,0.006097245961427689
34,0.03165049681917202,0.006233488209545612
35,0.03134326142959358,0.006365753710269928
36,0.03103353491068379,0.006330218631774187
