epoch,train_loss,val_loss
1,0.1580601751414779,0.029055407270789146
2,0.06710685760367151,0.03020836040377617
3,0.06276560747642922,0.017421215772628784
4,0.05140931945708063,0.02131441980600357
5,0.054454526237023425,0.021086236461997032
6,0.052657966008957696,0.015002996660768986
7,0.047390928966741935,0.012205500155687332
8,0.04437249555599456,0.013492104597389698
9,0.04617320402872329,0.013147277757525444
10,0.04595863675467329,0.011442756280303001
11,0.04277968847381523,0.01187025848776102
12,0.041278576563581144,0.013371842913329601
13,0.04111113379788554,0.013585735112428665
14,0.04092081475491617,0.012850925326347351
15,0.039752477865203535,0.012391078285872936
16,0.0393800560165854,0.012353269383311272
17,0.04005240332456975,0.01222226582467556
18,0.038682541816063176,0.012197581119835377
19,0.038318846788671285,0.012303417548537254
20,0.0377925856197192,0.012077433057129383
21,0.03698536700088214,0.011685455217957497
22,0.03701587138222713,0.011219686828553677
23,0.03685188488243452,0.010778040625154972
24,0.036360032832116085,0.010578305460512638
25,0.03625814772509282,0.010580632835626602
26,0.036214658004396105,0.010426312685012817
27,0.03512036048021971,0.010199831798672676
28,0.03559142214800018,0.009949123486876488
29,0.034812633459474523,0.009732089936733246
30,0.03448485629328715,0.009684719145298004
31,0.03407825349397909,0.009694571606814861
32,0.034389977312945075,0.009662164375185966
33,0.03449603683905664,0.009797943755984306
34,0.03411596265980621,0.010041425004601479
35,0.03377988985648342,0.010146728716790676
36,0.0339756707350413,0.010096333920955658
37,0.033296590342241174,0.009726827964186668
38,0.03303163143154842,0.009306250140070915
39,0.03335279012038038,0.009063241071999073
40,0.033174952066022584,0.00897014606744051
41,0.03299879270538785,0.009073725901544094
42,0.0326539254899508,0.00940852239727974
43,0.032918411994876426,0.00949578732252121
44,0.032530787139157066,0.009678657166659832
45,0.03254878136262395,0.009810972027480602
46,0.03257766648445254,0.009883691556751728
47,0.03221233444763165,0.01008473988622427
48,0.03239675723259745,0.010044037364423275
49,0.03216187991932327,0.01009440328925848
50,0.03178461129758872,0.010295365005731583
51,0.0322475027706888,0.010304916650056839
52,0.03218643267462456,0.010477988980710506
53,0.03160855921557526,0.010376272723078728
54,0.0318688910722343,0.010506339371204376
55,0.03180369440149638,0.010231762193143368
