epoch,train_loss,val_loss
1,0.07196575585825771,0.016562368582796166
2,0.046343554006098145,0.00882086920103541
3,0.04154574615406055,0.007614880058638475
4,0.039669177939299666,0.0067958663804111655
5,0.038395616378075155,0.006152631335512355
6,0.037462067029445,0.006086542236584204
7,0.03714882674949621,0.005498078686219675
8,0.036300524046608044,0.005471027697677966
9,0.03604010375691395,0.005287534402062495
10,0.035504920907269893,0.005236901687803092
11,0.03517982293090789,0.005226833400902925
12,0.034808212367732544,0.004890583162368448
13,0.03451493470107808,0.004987026840724327
14,0.03429976064297888,0.004986219418545564
15,0.03386068003239975,0.004846050783439919
16,0.03373198987903938,0.004968665109050495
17,0.033528802977278345,0.004994179984485662
18,0.03340964623136458,0.0047792477740181815
19,0.033008206611365276,0.004797350460042556
20,0.03295907115235048,0.0047915818135219595
21,0.03279200279050403,0.004894478505270349
22,0.03262397603077047,0.004757285911451887
23,0.032675614081371845,0.004752697768034758
24,0.03254473930090861,0.005021743510884268
25,0.0323650387231431,0.00465214983732612
26,0.03228624152883985,0.004772394947293732
27,0.03222123122001006,0.0046043165579990105
28,0.03217230169893869,0.004585662460023606
29,0.03208547489705429,0.004656189604213944
30,0.03202916859509119,0.0047307293172235846
31,0.03194245584065618,0.004568505014672324
32,0.03185957044460415,0.004712117283984467
33,0.03181847094807749,0.004637435733996055
34,0.031745229573810804,0.0047464483865985166
35,0.03161576643488766,0.004613511488531475
36,0.03159265877569423,0.004617872303006826
37,0.03155893901837807,0.00460069849052363
38,0.031555646068714804,0.0045629688883545225
39,0.03165709711854754,0.004728237649908772
40,0.03161799669070961,0.004507212244250157
41,0.031526040139735916,0.004404400458076486
42,0.03145621867935642,0.004698561866664224
43,0.031386864048982756,0.004641451269250225
44,0.03135363847699041,0.00473710573795769
45,0.03136830867018575,0.004804156479184274
46,0.031305264730274285,0.004514369975637506
47,0.03128576354166261,0.004962954376996668
48,0.031350455167733764,0.0048076509049645175
49,0.031295875245644374,0.00482335588377383
50,0.031283823785439036,0.0046369848014027985
51,0.03120503076686968,0.004682080061347397
52,0.03118728190124814,0.004810291825345269
53,0.03114085978055312,0.004660806032242598
54,0.03114457719417569,0.004821587905839637
55,0.031168165196682893,0.004656376765558013
56,0.03111822216534147,0.0046974556796528675
