epoch,train_loss,val_loss
1,0.14749298981007408,0.030038895085453987
2,0.06756444196490681,0.033474400639534
3,0.065462794505498,0.02012334205210209
4,0.052553717353764705,0.024183159694075584
5,0.05646698965745814,0.024513384327292442
6,0.05509906998452018,0.02033609338104725
7,0.0504309212021968,0.018904011696577072
8,0.04810457970289623,0.021008837968111038
9,0.0498547902878593,0.021335965022444725
10,0.0481841438833405,0.019457422196865082
11,0.046717058560427495,0.018496403470635414
12,0.04510928997222115,0.019133323803544044
13,0.04483803817454506,0.0195753313601017
14,0.04479288222158656,0.018866294994950294
15,0.043157306751784155,0.01889881305396557
16,0.04221381746670779,0.01985454000532627
17,0.041822008437970105,0.01997463032603264
18,0.0413692646605127,0.019513892009854317
19,0.0401460002450382,0.019495276734232903
20,0.040126999949707705,0.019629938527941704
21,0.03886103397783111,0.019630191847682
22,0.038504991329768125,0.019667239859700203
23,0.03876563884756144,0.01944626308977604
24,0.03719851260676103,0.019088130444288254
25,0.037279384539407844,0.01898331381380558
26,0.03670207674012465,0.018934108316898346
27,0.03610806359964259,0.019005922600626945
28,0.03630874906392659,0.019322840496897697
29,0.03547450816806625,0.019735094159841537
30,0.03538753898704753,0.020102640613913536
31,0.03506351446404177,0.020580923184752464
32,0.03448529055013376,0.021032720804214478
33,0.03444983757594052,0.021087918430566788
34,0.03406917365158305,0.021072091534733772
35,0.03408708305043333,0.02099461853504181
36,0.03374876805088099,0.02108750492334366
