epoch,train_loss,val_loss
1,0.03911623532427721,0.0023312827862917184
2,0.03506580740213394,0.0020358853200046667
3,0.03459402269894077,0.002064006047947775
4,0.03437212040740723,0.0018979206026351102
5,0.03422045804931621,0.0019038063105194793
6,0.034057308643881526,0.0017695414118606126
7,0.03394300155232379,0.0018177221146958992
8,0.03386980147699107,0.0017741734111307698
9,0.033783757693169755,0.0017345413866483585
10,0.03368344819965251,0.0017251769092003616
11,0.033650584387814195,0.0017515383574335807
12,0.03359165249113813,0.001970803397638717
13,0.033510006680166966,0.0017393076257532067
14,0.03347262432061333,0.0019774414002566455
15,0.033417295304036906,0.0018369413730191413
16,0.033390832677090275,0.001841364345208325
17,0.0333226900930104,0.001922638303102305
18,0.03329621769946691,0.0019242791390644788
19,0.03325504255740524,0.001774021768792535
20,0.03320740622159673,0.0018065529830717045
21,0.033182069495364015,0.0018140795350803187
22,0.03314726639134793,0.001952538942174284
23,0.03312384446432863,0.0018582419461227993
24,0.03309256756060983,0.0019980246538281346
25,0.03306402294429516,0.0021639003466028296
26,0.0330409923912493,0.002046443203957986
27,0.03299681095084137,0.0018508615147808996
28,0.0329695261818223,0.0017335982051886226
29,0.03296089642121296,0.0019903196791204824
30,0.03291962444345273,0.001849547448616172
31,0.032898412815286965,0.002087730454980855
32,0.032875300797461766,0.0019371824301426185
33,0.0328496182856322,0.0019095605450276778
34,0.03283870044298186,0.0020821162759948166
