dataset,n_test_aligned,aquaclip_srcc,clipiqa_test_srcc,srcc_gain,aquaclip_plcc,clipiqa_test_plcc_raw,aquaclip_nrmse,clipiqa_test_nrmse_raw
uid2021,180,0.7801063818842144,0.1761171164925231,0.6039892653916914,0.7929680421395374,0.142901971234758,0.1497435037179689,0.36395217436862165
uwiqa,178,0.8245931613473799,0.5249280554948356,0.29966510585254436,0.8317849263619147,0.5135523710662625,0.10842394190232242,0.39367163563188645
uiqd,1263,0.9651073650913377,0.6777553610472795,0.28735200404405814,0.9697752957631737,0.7728169122553573,0.062071511030182026,0.25723942042289105
saud2,480,0.6581800909390527,0.1966657563713483,0.4615143345677044,0.6665323296261936,0.20749305617599756,0.1825141420864316,0.36544104968958313
sota,1440,0.8926713932551995,0.09646500024907495,0.7962063930061245,0.9123616343818985,0.09060293009966969,0.0944607932313184,0.3725419336642538
mean,3541,0.8241316785034367,0.3343862579310123,0.48974542057242465,0.8346844456545435,0.345473448166409,0.11944277839364467,0.35056924275544726
