method,srcc,krcc,plcc,rmse,nrmse,source
PAUQA-Net,0.8745,0.6991,0.8635,6.0703,0.0638978947368421,PAUQA/LUIQD paper
AquaCLIP-QA,0.8794594572941057,0.7073029597252025,0.8725864764656055,6.4088590275645965,0.06746167397436417,"ours, LUIQD train/test manifest"
