dataset,elapsed_sec,returncode,epochs_ran,test_srcc,test_nrmse
uid2021,8.370126699912362,0,55,0.7801063818842144,0.14974350251156315
uwiqa,6.79314200009685,0,36,0.8245931613473799,0.10842394202878972
uiqd,13.144988000043668,0,48,0.9651073650913377,0.06207151127051359
saud2,7.665105600026436,0,34,0.6581800909390527,0.18251414730622012
sota,15.630875900038518,0,56,0.8926713932551995,0.09446079586574761
total,51.604238200117834,0,229,,
