category,display_method,method_key,status,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,total_elapsed_sec
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,uwiqa,True,178,0.8245931613473799,0.8317849263619147,0.684002086564565,0.1084239419023224,0.1084239419023224,0.8317849263619147,0.106279038149475,0.106279038149475,0.9149618608705634,0.0160002485386836,19.2,19.2
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,uiqd,True,1263,0.9651073650913377,0.9697752957631736,0.8440994007758036,0.062071511030182,0.062071511030182,0.9697752957631736,0.0596906616800813,0.0596906616800813,0.9363931755602564,0.0187758836400581,19.2,19.2
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,mean,True,1441,0.8948502632193588,0.9007801110625442,0.7640507436701842,0.0852477264662522,0.0852477264662522,0.9007801110625442,0.0829848499147781,0.0829848499147781,0.92567751821541,0.0173880660893709,19.2,19.2
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,arniqa-spaq,uwiqa,True,178,0.3543336564819019,0.3244159541632783,0.2669655202669953,0.2623460431869701,0.2623460431869701,0.3244159541632783,0.1811047387655884,0.1811047387655884,0.6475523294589912,0.004293320849188,11.060232699848704,211.8837894999888
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,arniqa-spaq,uiqd,True,1263,0.5613257954213099,0.6352881367629766,0.389627394900724,0.2117644993166837,0.2117644993166837,0.6352881367629766,0.1889248596310267,0.1889248596310267,1.3306817099496222,-0.2408289393681052,170.45479130023153,211.8837894999888
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,arniqa-spaq,mean,True,1441,0.4578297259516058,0.4798520454631274,0.3282964575838597,0.2370552712518269,0.2370552712518269,0.4798520454631274,0.1850147991983076,0.1850147991983076,0.9891170197043068,-0.1182678092594586,90.75751200004012,211.8837894999888
Traditional NR-IQA,BRISQUE,brisque,completed,brisque,uwiqa,False,178,0.4274336448253555,0.4052152669653134,0.3152480204950822,31.906041009375507,31.906041009375507,0.4052152669653134,0.1750367559962101,0.1750367559962101,-0.0043253848447292,0.4681590649503448,8.817039201036089,
Traditional NR-IQA,BRISQUE,brisque,completed,brisque,uiqd,False,1263,0.7035703603386866,0.6937974084244156,0.5139022055063255,44.40604822598343,44.40604822598343,0.6937974084244155,0.1761782059241328,0.1761782059241328,-0.0085049799641426,0.7109952773977124,84.88970290508581,
Traditional NR-IQA,BRISQUE,brisque,completed,brisque,mean,False,1441,0.565502002582021,0.5495063376948646,0.4145751130007038,38.15604461767947,38.15604461767947,0.5495063376948645,0.1756074809601714,0.1756074809601714,-0.0064151824044359,0.5895771711740286,46.85337105306096,
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,clipiqa,uwiqa,True,178,0.4888536552793404,0.4830364331542361,0.3648011128344346,0.1959714170727711,0.1959714170727711,0.4830364331542361,0.1676423725483815,0.1676423725483815,0.5697810996366027,0.1109070247633963,18.416460400563658,
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,clipiqa,uiqd,True,1263,0.5487977075899294,0.6378053756225589,0.3889760738190183,0.1893813624912084,0.1893813624912084,0.6378053756225589,0.1884166016046293,0.1884166016046293,0.8926032165336338,0.0372919380547263,280.1818499023793,
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,clipiqa,mean,True,1441,0.5188256814346349,0.5604209043883975,0.3768885933267264,0.1926763897819898,0.1926763897819898,0.5604209043883975,0.1780294870765054,0.1780294870765054,0.7311921580851183,0.0740994814090613,149.2991551514715,
