category,display_method,method_key,status,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,total_elapsed_sec
VLM / CLIP-IQA,CLIP-IQA (classic run),clipiqa_classic,completed,CLIP-IQA-classic,uiqd,True,1263,0.6777553610472795,0.7728169122553573,0.4938688171199537,0.257239420422891,0.257239420422891,0.7728169122553573,0.1552519136717447,0.1552519136717447,0.7150215616620288,-0.0292238682082312,0.0,0.2507196000078693
VLM / CLIP-IQA,CLIP-IQA (classic run),clipiqa_classic,completed,CLIP-IQA-classic,saud2,True,480,0.1966657563713483,0.2074930561759975,0.1313524462916174,0.3650622272764908,0.3654410496895831,0.2074930561759975,0.2353188949402117,0.2355630836427585,0.2626725177988898,0.2982516285301475,0.0,0.2507196000078693
VLM / CLIP-IQA,CLIP-IQA (classic run),clipiqa_classic,completed,CLIP-IQA-classic,sota,True,1440,0.0964650002490749,0.0906029300996696,0.0643424160141536,0.3583947241327212,0.3725419336642538,0.0906029300996696,0.2147684126883037,0.2232461427732223,0.0692025990309078,0.4474704128822005,0.0,0.2507196000078693
VLM / CLIP-IQA,CLIP-IQA (classic run),clipiqa_classic,completed,CLIP-IQA-classic,mean,True,3541,0.3343862579310123,0.345473448166409,0.239959915023732,0.3474126169170698,0.3505692427554472,0.3454734481664089,0.2002387245364628,0.2021436325507385,0.3238630976487814,0.2380101046172827,0.0,0.2507196000078693
General deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,uid2021,True,180,0.2946181466506168,0.2962575309136822,0.190316573556797,0.2382349161529093,0.2390606358171366,0.2962575309136823,0.2234684646413924,0.2242430039430566,0.6432400799331558,0.2310804441607536,16.073712399811484,369.746333799907
General deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,uwiqa,True,178,0.4769070360757718,0.4945208072341914,0.3605658057968831,0.170638038472502,0.170638038472502,0.4945208072341914,0.1664104305921402,0.1664104305921402,1.1293987290885992,-0.0868143280272178,18.27669999958016,369.746333799907
General deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,uiqd,True,1263,0.710317034469856,0.8032062146074715,0.5214817506015117,0.171026676814114,0.171026676814114,0.8032062146074715,0.1457288063309361,0.1457288063309361,1.805911842965115,-0.2705761609293952,144.1366857982939,369.746333799907
General deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,saud2,True,480,0.0829205741912305,0.0905036701069785,0.0543945441414222,0.2580396134370095,0.258307379263578,0.0905036701069784,0.239566993391081,0.2398155903144349,0.2881160829196222,0.3720418160772119,44.61299330124166,369.746333799907
General deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,sota,True,1440,0.1895580163615605,0.1772845902328245,0.1265638543058134,0.2371904886827844,0.2465533038034649,0.1772845902328245,0.2122393210493916,0.2206172182212373,0.3554439808080958,0.3438315388550126,144.18730160372797,369.746333799907
General deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,mean,True,3541,0.3508641615498071,0.3723545626190297,0.2506645056804855,0.2150259467118638,0.2171172068341591,0.3723545626190297,0.1974828032009882,0.199363009880361,0.8444221431429177,0.117912662027273,73.45747862053103,369.746333799907
VLM / CLIP-IQA,LIQE,liqe,completed,liqe,uid2021,True,180,0.4812370752183709,0.4840104682446315,0.325512104283054,1.7651108310106554,1.7712286862194642,0.4840104682446315,0.2047399752053848,0.2054496017635338,0.14048034868514,0.2172451853459793,9.489400500664487,252.98790629999712
VLM / CLIP-IQA,LIQE,liqe,completed,liqe,uwiqa,True,166,0.5883042157291887,0.5689199429727986,0.4538357539105262,1.607361433810232,1.607361433810232,0.5689199429727986,0.1608819907035573,0.1608819907035573,0.1432184998478178,0.0936831395870184,11.39611799933482,252.98790629999712
VLM / CLIP-IQA,LIQE,liqe,completed,liqe,uiqd,True,1263,0.6862108796407121,0.8166222398356421,0.5021253022045683,1.4619856733386298,1.4619856733386298,0.8166222398356421,0.141196088345565,0.141196088345565,0.2007506175022268,0.0559636126649711,109.7250990049215,252.98790629999712
VLM / CLIP-IQA,LIQE,liqe,completed,liqe,saud2,True,480,0.1824647600591971,0.193242860474476,0.1226922363215508,1.6887331987919276,1.690485584926774,0.193242860474476,0.2360199816223743,0.2362648978374625,0.0657115663422738,0.3573318113878846,28.58947520004585,252.98790629999712
VLM / CLIP-IQA,LIQE,liqe,completed,liqe,sota,True,1440,0.2713913261842059,0.2598130267023898,0.181871355216616,1.8369254882001895,1.9094359578737252,0.2598130267023897,0.2082495483359377,0.2164699539300348,0.0567866203506271,0.3723590421654599,89.51981129671913,252.98790629999712
VLM / CLIP-IQA,LIQE,liqe,completed,liqe,mean,True,3529,0.441921651366335,0.4645217076459877,0.3172073503872631,1.672023325030327,1.688099467233765,0.4645217076459876,0.1902175168425638,0.1920525065160307,0.1213895305456171,0.2193165582302627,49.74398080033716,252.98790629999712
General deep NR-IQA,MANIQA,maniqa,completed,maniqa,uid2021,True,180,0.2101196538987829,0.2195343456804418,0.1400372439478584,0.3148421823501556,0.315933421977381,0.2195343456804418,0.2282641110043643,0.2290552719648874,0.497078320218753,0.3641383678437129,280.19536659959704,5599.815027499921
General deep NR-IQA,MANIQA,maniqa,completed,maniqa,uwiqa,True,178,0.4075737644184392,0.4086545082104648,0.3118597748650411,0.1823027067539129,0.1823027067539129,0.4086545082104649,0.1747434113143209,0.1747434113143209,0.9374434612674912,0.070684213665042,275.5635342997266,5599.815027499921
General deep NR-IQA,MANIQA,maniqa,completed,maniqa,uiqd,True,1263,0.4605298294938996,0.5780513618106771,0.3222690916266603,0.2215008487223999,0.2215008487223999,0.578051361810677,0.1996215309683035,0.1996215309683035,1.30984292117265,0.0013204608931735,1997.92610110261,5599.815027499921
General deep NR-IQA,MANIQA,maniqa,completed,maniqa,saud2,True,480,0.0461260139039335,0.0576622184296397,0.0309036181686391,0.3273700983491601,0.3277098079147214,0.0576622184296397,0.2401539524054519,0.240403158411898,0.2021728230486454,0.4349276108664552,758.5505850996124,5599.815027499921
