category,display_name,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,timing_scope,total_elapsed_wall_sec,total_elapsed_sec
Deep NR-IQA,DBCNN,dbcnn,uid2021,True,900,0.3797637108096725,0.3802780258982333,0.2562236586978383,0.2227955646868722,0.2227955646868722,0.3802780258982333,0.2207609319627731,0.2207609319627731,0.7917758582764871,0.1176124469219186,34.92503930022936,,,899.4404903000686
Deep NR-IQA,DBCNN,dbcnn,saud2,True,2400,0.0650372487081909,0.0762091138747588,0.0433429420802176,0.25289869655438,0.25289869655438,0.0762091138747588,0.2335839143929614,0.2335839143929614,0.1905786749901296,0.4048642744023567,115.05993049801316,,,899.4404903000686
Deep NR-IQA,DBCNN,dbcnn,sota,True,7200,0.1299266679338001,0.1047082555597198,0.0843896612385015,0.247177039262186,0.247177039262186,0.1047082555597198,0.2087392739512896,0.2087392739512896,0.1597336386754128,0.4321218057594476,620.1739565948953,,,899.4404903000686
Deep NR-IQA,DBCNN,dbcnn,uied,True,1000,0.1975688221799795,0.185847893118176,0.1306065814910059,0.2491693690999341,0.2491693690999341,0.185847893118176,0.2147519199445957,0.2147519199445957,0.3172935920706979,0.3725191662482012,111.94648460485038,,,899.4404903000686
Deep NR-IQA,DBCNN,dbcnn,mean,True,11500,0.1930741124079108,0.186760822112722,0.1286407108768908,0.243010167400843,0.243010167400843,0.186760822112722,0.2194590100629049,0.2194590100629049,0.3648454410031819,0.331779423332981,220.52635274949705,,,899.4404903000686
Deep NR-IQA,HyperIQA,hyperiqa,uid2021,True,900,0.316960807645475,0.3169694177912074,0.2135485545652484,0.237179641946258,0.237179641946258,0.3169694177912073,0.2263853940952433,0.2263853940952433,0.6944129771832214,0.1947530578493185,74.58830699976531,,,1031.0046695999335
Deep NR-IQA,HyperIQA,hyperiqa,saud2,True,2400,0.1225621861908609,0.1258508318691853,0.080599458033291,0.2505003237227843,0.2505003237227843,0.1258508318691854,0.2324025898648254,0.2324025898648254,0.3638541886407716,0.3375256303716374,209.8561303941532,,,1031.0046695999335
Deep NR-IQA,HyperIQA,hyperiqa,sota,True,7200,0.198416270170305,0.1910951449118054,0.1331644276549431,0.2344080932314602,0.2344080932314602,0.1910951449118054,0.2060250494711622,0.2060250494711622,0.3770454451402344,0.3466821932970522,638.4023167118428,,,1031.0046695999335
Deep NR-IQA,HyperIQA,hyperiqa,uied,True,1000,0.2848705901723135,0.2835242381718291,0.1890272531769309,0.245944181408834,0.245944181408834,0.2835242381718292,0.2095909736473856,0.2095909736473856,0.6386362159596974,0.2609255675400818,91.30194799788292,,,1031.0046695999335
Deep NR-IQA,HyperIQA,hyperiqa,mean,True,11500,0.2307024635447386,0.2293599081860068,0.1540849233576034,0.2420080600773341,0.2420080600773341,0.2293599081860068,0.2186010017696541,0.2186010017696541,0.5184872067309813,0.2849716122645225,253.53717552591107,,,1031.0046695999335
VLM-IQA,LIQE,liqe,uid2021,True,900,0.4888858335580597,0.5026723017043052,0.3353545341318322,1.705722968050424,1.705722968050424,0.5026723017043052,0.2063449993217738,0.2063449993217738,0.1471487479918846,0.1954050847433446,45.24034029897298,,,668.5325110000558
VLM-IQA,LIQE,liqe,saud2,True,2400,0.1920813902137146,0.2061106421804865,0.128254110824655,1.6876653840403593,1.6876653840403593,0.2061106421804865,0.2292352112887215,0.2292352112887215,0.066385955199121,0.3522766299927209,127.49512919830148,,,668.5325110000558
VLM-IQA,LIQE,liqe,sota,True,7200,0.2771243610151397,0.2746253726859332,0.186616272814144,1.8215417092009252,1.8215417092009252,0.2746253726859332,0.2018229448211937,0.2018229448211937,0.0591984954946575,0.3798555840219003,413.3784415028055,,,668.5325110000558
VLM-IQA,LIQE,liqe,uied,True,961,0.3479822442509093,0.3543421713206866,0.2350872552484319,1.5495598370117842,1.5495598370117842,0.3543421713206866,0.2042115036333217,0.2042115036333217,0.0888325076055065,0.3431282507760365,63.23157560080287,,,668.5325110000558
VLM-IQA,LIQE,liqe,mean,True,11461,0.3265184572594558,0.3344376219728528,0.2213280432547658,1.6911224745758733,1.6911224745758733,0.3344376219728528,0.2104036647662527,0.2104036647662527,0.0903914265727924,0.3176663873835005,162.3363716502207,,,668.5325110000558
Deep NR-IQA,MUSIQ,musiq,uid2021,True,900,0.4108989604060815,0.388886944761694,0.2815360466912189,51.14859150774614,51.14859150774614,0.3888869447616939,0.219904801798329,0.219904801798329,0.0083186396853346,0.0759553651697135,34.48881490132767,,,703.1655951000284
Deep NR-IQA,MUSIQ,musiq,saud2,True,2400,0.1323395483154799,0.1280702347975575,0.0879912255624607,52.85319388235416,52.85319388235416,0.1280702347975575,0.2323360408486141,0.2323360408486141,0.0030831011879638,0.3242912739073474,109.10661410936144,,,703.1655951000284
Deep NR-IQA,MUSIQ,musiq,sota,True,7200,0.2211108380906733,0.2116540788759671,0.1482479441487279,51.754719206438565,51.754719206438565,0.2116540788759671,0.2051378576421963,0.2051378576421963,0.0035832983149136,0.32011926721013,460.3377993963656,,,703.1655951000284
Deep NR-IQA,MUSIQ,musiq,uied,True,1000,0.3086873856355224,0.284720713402762,0.2085088192713874,49.26086855794587,49.26086855794587,0.2847207134027619,0.2095134816966252,0.2095134816966252,0.0050058538972242,0.2620265055797576,83.63105959654783,,,703.1655951000284
Deep NR-IQA,MUSIQ,musiq,mean,True,11500,0.2682591831119393,0.2533329929594952,0.1815710089184487,51.25434328862119,51.25434328862119,0.2533329929594951,0.2167230454964411,0.2167230454964411,0.0049977232713591,0.2455981029667371,171.89107200090064,,,703.1655951000284
