method,variant,ratio,srcc_mean,plcc_mean,nrmse_mean,nrmse_median
"AquaCLIP-QA cross-dataset, no calibration",concat,0.0,0.3876092721562602,0.3875112116742399,0.2349003382652787,0.2359468777270159
AquaCLIP-QA + 1% positive affine calibration,concat,0.01,0.3881362023035377,0.3879424528539974,0.2024152353728694,0.2100650896089096
AquaCLIP-QA + 5% positive affine calibration,concat,0.05,0.3874451325372806,0.3874303453317955,0.1971505655624262,0.2080279373447653
